6-monthly,Cause of injury,State or territory,Calendar year,Breakdown value,Hospitalisations,Bed days,Breakdown type,Data level
Jul-Dec,Traffic,SA,2012,0-7,19,30,Age group,State/Territory
Jul-Dec,Traffic,SA,2012,17-25,276,1164,Age group,State/Territory
Jul-Dec,Traffic,SA,2012,26-39,240,1021,Age group,State/Territory
Jul-Dec,Traffic,SA,2012,40-64,382,2577,Age group,State/Territory
Jul-Dec,Traffic,SA,2012,65-74,79,457,Age group,State/Territory
Jul-Dec,Traffic,SA,2012,75+,132,935,Age group,State/Territory
Jul-Dec,Traffic,SA,2012,8-16,76,152,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,0-7,11,34,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,17-25,66,234,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,26-39,49,211,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,40-64,90,465,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,65-74,11,52,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,75+,17,103,Age group,State/Territory
Jul-Dec,Traffic,TAS,2012,8-16,21,51,Age group,State/Territory
Jul-Dec,Traffic,ACT,2012,17-25,72,190,Age group,State/Territory
Jul-Dec,Traffic,ACT,2012,26-39,66,198,Age group,State/Territory
Jul-Dec,Traffic,ACT,2012,40-64,114,437,Age group,State/Territory
Jul-Dec,Traffic,ACT,2012,65-74,7,24,Age group,State/Territory
Jul-Dec,Traffic,ACT,2012,8-16,10,41,Age group,State/Territory
Jul-Dec,Traffic,NT,2012,17-25,74,400,Age group,State/Territory
Jul-Dec,Traffic,NT,2012,26-39,81,577,Age group,State/Territory
Jul-Dec,Traffic,NT,2012,40-64,74,458,Age group,State/Territory
Jul-Dec,Traffic,NT,2012,65-74,12,102,Age group,State/Territory
Jul-Dec,Traffic,NT,2012,8-16,30,62,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,0-7,106,407,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,17-25,1193,4480,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,26-39,1298,4235,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,40-64,1749,7491,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,65-74,373,2449,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,75+,368,2706,Age group,State/Territory
Jan-Jun,Traffic,NSW,2013,8-16,381,1117,Age group,State/Territory
